No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
513,DCPH,"Deciphera Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,903.55,,13.27,5.91%,637170
514,DD,"DuPont de Nemours, Inc.",Basic Materials,Chemicals,USA,28712.51,20.33,55.54,1.18%,2382996
515,DDD,3D Systems Corporation,Technology,Computer Hardware,USA,1235.67,4.85,9.69,0.00%,809284
516,DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,USA,90255.96,15.44,295.96,-0.82%,1206475
517,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,USA,7135.25,16.18,263.78,0.82%,395599
518,DEI,"Douglas Emmett, Inc.",Real Estate,REIT - Office,USA,3999.3,50.04,22.32,1.41%,1202833
519,DELL,Dell Technologies Inc.,Technology,Computer Hardware,USA,31850.97,6.62,43.05,1.34%,4518224
520,DENN,Denny's Corporation,Consumer Cyclical,Restaurants,USA,551.63,7.47,8.87,0.23%,441524
521,DEO,Diageo plc,Consumer Defensive,Beverages - Wineries & Distilleries,United Kingdom,95731.28,31.49,171.78,0.64%,274949
522,DFS,Discover Financial Services,Financial,Credit Services,USA,27900.49,5.88,99.83,0.33%,1827591
523,DGLY,"Digital Ally, Inc.",Industrials,Security & Protection Services,USA,37.11,,0.77,-0.97%,249572
524,DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,USA,15739.48,8.94,134.09,-1.38%,723525
525,DHC,Diversified Healthcare Trust,Real Estate,REIT - Healthcare Facilities,USA,420.44,0.85,1.73,1.76%,1380438
526,DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,USA,25987.92,5.33,74.4,1.54%,4393785
527,DHR,Danaher Corporation,Healthcare,Diagnostics & Research,USA,183515.79,29.66,252.7,-4.75%,2192396
528,DHX,"DHI Group, Inc.",Industrials,Staffing & Employment Services,USA,240.21,,4.96,-1.00%,402006
529,DINO,HF Sinclair Corporation,Energy,Oil & Gas Refining & Marketing,USA,10116.54,13.34,45.25,-0.92%,1679449
530,DIS,The Walt Disney Company,Communication Services,Entertainment,USA,173283.55,63.29,93.6,-0.04%,8646103
531,DISH,DISH Network Corporation,Communication Services,Entertainment,USA,9091.5,5.01,17.42,2.05%,2673147
532,DK,"Delek US Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,USA,1677.62,,23.13,-0.39%,1058257
533,DKS,"DICK'S Sporting Goods, Inc.",Consumer Cyclical,Specialty Retail,USA,6795.48,6.58,84.7,1.11%,2403316
534,DLB,"Dolby Laboratories, Inc.",Communication Services,Entertainment,USA,7257.23,34.85,72.24,-0.99%,331556
535,DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,37170.52,25.08,164.13,-1.23%,1367577
536,DMTK,"DermTech, Inc.",Healthcare,Diagnostics & Research,USA,177.61,,5.98,2.22%,227472
537,DNLI,Denali Therapeutics Inc.,Healthcare,Biotechnology,USA,4079.24,,33.1,0.73%,447557
538,DNN,Denison Mines Corp.,Energy,Uranium,Canada,789.78,14.85,0.98,-1.71%,1896366
539,DNOW,NOW Inc.,Energy,Oil & Gas Equipment & Services,USA,1027.92,24.15,9.83,-1.99%,1020344
540,DOC,Physicians Realty Trust,Real Estate,REIT - Healthcare Facilities,USA,3760.07,45.86,16.6,-0.06%,1318063
541,DOCU,"DocuSign, Inc.",Technology,Software - Application,USA,12745.26,,62.8,-0.49%,3008662
542,DOGZ,Dogness (International) Corporation,Consumer Defensive,Household & Personal Products,China,63.7,27.33,1.64,0.61%,475568
543,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,USA,17672.27,15.71,120.77,-0.46%,698169
544,DOW,Dow Inc.,Basic Materials,Chemicals,USA,37354.16,5.49,50.42,-1.16%,6053793
545,DOX,Amdocs Limited,Technology,Software - Infrastructure,USA,10071.13,18.38,82.22,-0.51%,453847
546,DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,USA,14258.07,29.92,391.49,-1.45%,461548
547,DRE,Duke Realty Corporation,Real Estate,REIT - Industrial,USA,21978.52,21.24,56.92,-0.66%,1429280
548,DRH,DiamondRock Hospitality Company,Real Estate,REIT - Hotel & Motel,USA,1777.59,,8.34,1.71%,1023818
549,DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,USA,14510.02,15.61,115.83,0.34%,1009507
550,DRRX,DURECT Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA,101.13,,0.46,0.02%,402359
551,DS,Drive Shack Inc.,Consumer Cyclical,Leisure,USA,123.8,,1.34,-0.74%,403358
552,DSX,Diana Shipping Inc.,Industrials,Marine Shipping,Greece,376.32,4.57,4.35,-2.03%,484862
553,DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,USA,24353.34,30.75,125.21,-0.63%,798911
554,DTIL,"Precision BioSciences, Inc.",Healthcare,Biotechnology,USA,133.21,,1.51,-4.43%,2053392
555,DTST,Data Storage Corporation,Technology,Information Technology Services,USA,15.98,34.37,2.44,0.41%,13117
556,DVA,DaVita Inc.,Healthcare,Medical Care Facilities,USA,8051.16,10.05,84.5,3.10%,742356
557,DVAX,Dynavax Technologies Corporation,Healthcare,Biotechnology,USA,1810.54,28.04,14.58,2.39%,1099036
558,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,33764.37,9.73,51.93,-2.61%,9713958
559,DX,"Dynex Capital, Inc.",Real Estate,REIT - Mortgage,USA,931.57,6.88,16.19,0.19%,697865
560,DXC,DXC Technology Company,Technology,Information Technology Services,USA,6582.06,10.08,28.66,-2.05%,1603549
561,DXCM,"DexCom, Inc.",Healthcare,Diagnostics & Research,USA,30891.41,152.74,78.05,-0.48%,1536428
562,DXLG,"Destination XL Group, Inc.",Consumer Cyclical,Apparel Retail,USA,225.49,3.96,3.56,1.42%,353360
563,E,Eni S.p.A.,Energy,Oil & Gas Integrated,Italy,39037.28,4.54,22.16,-1.64%,381521
564,EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,USA,34061.7,44.29,121.98,-1.50%,1249637
565,EAF,GrafTech International Ltd.,Industrials,Electrical Equipment & Parts,USA,1754.33,4.34,6.79,0.44%,1815601
566,EAT,"Brinker International, Inc.",Consumer Cyclical,Restaurants,USA,1023.71,6.99,22.81,2.29%,919235
567,EB,"Eventbrite, Inc.",Technology,Software - Application,USA,1021.6,,10.36,1.27%,1443348
568,EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,USA,24566.54,,43.2,0.86%,4745004
569,EBIX,"Ebix, Inc.",Technology,Software - Application,USA,559.53,8.61,18.43,2.62%,272240
570,EBS,Emergent BioSolutions Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1561.74,10.64,31.31,-2.64%,529227
571,EC,Ecopetrol S.A.,Energy,Oil & Gas Integrated,Colombia,20706.94,4.45,9.96,-0.99%,1665627
572,ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,USA,46021.27,41.14,157.78,2.28%,1936436
573,ECVT,Ecovyst Inc.,Basic Materials,Specialty Chemicals,USA,1310.74,104.07,9.47,-0.84%,426969
574,EDIT,"Editas Medicine, Inc.",Healthcare,Biotechnology,USA,1000.82,,14.39,4.12%,1511015
575,EFC,Ellington Financial Inc.,Financial,Mortgage Finance,USA,910.96,9.81,15.38,0.65%,418563
576,EFOI,"Energy Focus, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,7.13,,0.9,-7.00%,203195
577,EFX,Equifax Inc.,Industrials,Consulting Services,USA,22963.24,30.27,187.18,-1.32%,738797
578,EGHT,"8x8, Inc.",Technology,Software - Application,USA,595.01,,4.9,-1.80%,1732589
579,EGIO,"Edgio, Inc.",Technology,Software - Infrastructure,USA,306.87,,2.23,0.45%,1798970
580,EGLE,Eagle Bulk Shipping Inc.,Industrials,Marine Shipping,USA,588.03,3.09,43.85,-1.42%,328021
581,EGO,Eldorado Gold Corporation,Basic Materials,Gold,Canada,1038.35,,5.55,-0.18%,2960833
582,EGP,"EastGroup Properties, Inc.",Real Estate,REIT - Industrial,USA,6508.45,32.73,155,-0.17%,253478
583,EGY,"VAALCO Energy, Inc.",Energy,Oil & Gas E&P,USA,362.89,4.31,6.16,-3.45%,1064913
584,EHC,Encompass Health Corporation,Healthcare,Medical Care Facilities,USA,4824.34,12.32,48.2,0.00%,330575
585,EIGR,"Eiger BioPharmaceuticals, Inc.",Healthcare,Biotechnology,USA,341.27,,8.5,-1.28%,361296
586,EIX,Edison International,Utilities,Utilities - Regulated Electric,USA,23836.42,40.55,62.28,-0.35%,706112
587,EKSO,"Ekso Bionics Holdings, Inc.",Healthcare,Medical Instruments & Supplies,USA,22.13,,1.71,1.79%,15439
588,EL,The Estee Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,USA,90029.44,26.7,244.3,-0.53%,1210815
589,ELAN,Elanco Animal Health Incorporated,Healthcare,Drug Manufacturers - Specialty & Generic,USA,9588.4,,19.99,-1.14%,2552233
590,ELF,"e.l.f. Beauty, Inc.",Consumer Defensive,Household & Personal Products,USA,1648.08,76.82,31.19,0.03%,414278
591,ELP,Companhia Paranaense de Energia - COPEL,Utilities,Utilities - Diversified,Brazil,3286.2,24.92,6.28,0.32%,672742
592,ELS,"Equity LifeStyle Properties, Inc.",Real Estate,REIT - Residential,USA,13642.64,50.21,72.66,-0.90%,1130346
594,ELY,Callaway Golf Company,Consumer Cyclical,Leisure,USA,3828.81,30.59,20.74,0.48%,1366813
595,EMAN,eMagin Corporation,Technology,Semiconductor Equipment & Materials,USA,53.97,24.02,0.74,-0.71%,90813
596,EMKR,EMCORE Corporation,Technology,Semiconductors,USA,116.35,6.44,3.11,-1.27%,216513
597,EMN,Eastman Chemical Company,Basic Materials,Chemicals,USA,11767.81,14.94,90.71,1.16%,595834
598,EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,USA,47071.91,16.52,79.05,-1.51%,2804774
599,ENB,Enbridge Inc.,Energy,Oil & Gas Midstream,Canada,83829.37,18.77,41.74,-0.86%,2187220
600,ENDP,Endo International plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,85.13,,0.41,-19.67%,85250522
601,ENIC,Enel Chile S.A.,Utilities,Utilities - Regulated Electric,Chile,1483.74,14.55,1.12,0.00%,296818
602,ENLC,"EnLink Midstream, LLC",Energy,Oil & Gas Midstream,USA,4049.49,59.5,8.27,-4.06%,2186750
603,ENOB,"Enochian Biosciences, Inc.",Healthcare,Biotechnology,USA,100.93,,2.03,4.64%,326648
604,ENOV,Enovis Corporation,Industrials,Specialty Industrial Machinery,USA,2952.72,33.56,54,-0.48%,330314
605,ENPH,"Enphase Energy, Inc.",Technology,Solar,USA,24447.31,163.2,189.47,-8.05%,3481358
606,ENR,"Energizer Holdings, Inc.",Industrials,Electrical Equipment & Parts,USA,2025.33,11.26,28.11,1.37%,515176
607,ENSV,Enservco Corporation,Energy,Oil & Gas Equipment & Services,USA,20.2,,1.81,-9.05%,208895
608,ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,USA,13925.3,28,92.3,1.42%,1479937
609,ENV,"Envestnet, Inc.",Technology,Software - Application,USA,2809.47,,50.74,-1.07%,354863
610,ENVB,"Enveric Biosciences, Inc.",Healthcare,Biotechnology,USA,10.48,,0.22,-12.41%,4507331
611,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,58024.56,13.28,99.49,-4.06%,3856046
612,EOLS,"Evolus, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,707.28,,12.98,-2.26%,400757
613,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,USA,17855.3,38.97,304.75,-3.91%,506451
614,EPC,Edgewell Personal Care Company,Consumer Defensive,Household & Personal Products,USA,1898.25,16.66,36.02,0.81%,246002
615,EPD,Enterprise Products Partners L.P.,Energy,Oil & Gas Midstream,USA,52930.21,11.94,24.68,-1.44%,6577137
616,EPR,EPR Properties,Real Estate,REIT - Retail,USA,3622.56,31.79,48.07,-0.17%,324206
617,EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,REIT - Diversified,USA,2859.06,24.95,21.88,-0.18%,644546
618,EQH,"Equitable Holdings, Inc.",Financial,Insurance - Diversified,USA,9890.61,6.78,25.82,0.58%,1765169
619,EQNR,Equinor ASA,Energy,Oil & Gas Integrated,Norway,106095.38,9.36,32.95,-1.41%,2461171
620,EQR,Equity Residential,Real Estate,REIT - Residential,USA,27014.63,19.95,71.29,0.11%,968038
621,EQT,EQT Corporation,Energy,Oil & Gas E&P,USA,12834.69,,34.39,-0.49%,5249362
622,EQX,Equinox Gold Corp.,Basic Materials,Gold,Canada,1270.82,2.73,4.07,-4.01%,2940268
623,ERF,Enerplus Corporation,Energy,Oil & Gas E&P,Canada,2908.49,11.83,12.03,-4.60%,2246785
624,ERII,"Energy Recovery, Inc.",Industrials,Pollution & Treatment Controls,USA,1087.52,73.13,19.16,-2.99%,171251
625,ERJ,Embraer S.A.,Industrials,Aerospace & Defense,Brazil,1510.53,182.89,8.23,1.86%,2303933
626,ERYP,ERYTECH Pharma S.A.,Healthcare,Biotechnology,France,32.5,,1.01,-3.35%,3275
627,ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals,USA,4455.13,24.97,17.78,1.48%,1411575
628,ESNT,Essent Group Ltd.,Financial,Mortgage Finance,Bermuda,4169.49,5.23,38.88,0.18%,250617
629,ESRT,"Empire State Realty Trust, Inc.",Real Estate,REIT - Diversified,USA,1230.36,,7.08,2.91%,675344
630,ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,USA,17460.31,43.76,264.07,0.56%,300487
631,ESTC,Elastic N.V.,Technology,Software - Application,USA,6643.68,,69.48,-8.51%,1562103
632,ESTE,"Earthstone Energy, Inc.",Energy,Oil & Gas E&P,USA,1347.61,121.26,11.52,-3.52%,1606665
633,ET,Energy Transfer LP,Energy,Oil & Gas Midstream,USA,29627.77,9.13,9.68,-0.51%,18159629
634,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,51326.77,22.99,126.88,-0.76%,1051594
635,ETR,Entergy Corporation,Utilities,Utilities - Diversified,USA,22675.43,21.22,110.98,0.18%,788678
636,ETRN,Equitrans Midstream Corporation,Energy,Oil & Gas Midstream,USA,2712.36,,6.46,-0.77%,3857280
637,ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,USA,10990.61,28.89,85.59,-0.56%,2993797
638,EVA,Enviva Inc.,Basic Materials,Lumber & Wood Production,USA,3900.21,,58.16,-2.25%,463575
639,EVBG,"Everbridge, Inc.",Technology,Software - Application,USA,1073.32,,26.43,-2.97%,960861
